Question,OptionA,OptionB,OptionC,OptionD,Answer
What is the unit of force?,Newton,Joule,Watt,Pascal,A
Which cement is most suitable for marine construction?,Ordinary Portland Cement,Portland Pozzolana Cement,Quick Setting Cement,Sulphate Resisting Cement,D
The Young's modulus is a measure of,Stress,Strain,Elasticity,Plasticity,C
Which IS code is used for Plain and Reinforced Concrete?,IS 383,IS 456,IS 800,IS 1893,B
Which soil has the highest compressibility?,Gravel,Sand,Silt,Clay,D
The minimum water-cement ratio for good strength is,0.25,0.40,0.50,0.60,B
Which test determines the workability of concrete?,Compression test,Slump test,Tensile test,Impact test,B
Cantilever beams are subjected to,Only shear force,Only bending moment,Both shear force and bending moment,None,C
The most accurate method of levelling is,Dumpy Level,Tilting Level,Auto Level,Precise Level,D
In a simply supported beam with point load at center,Maximum deflection occurs at,Support,Quarter span,Midspan,Near support,C
